layer,component,benchmark_id,status,key_evidence,interpretation,failure_mode
Adapter availability,LRW package import,lrw_probe_001,success,available=true; public_symbols=6; submodules=16,The installed LRW package is importable and exposes the expected top-level modules.,
API surface,LRW geodesic/metric classes,lrw_api_introspection_001,success,classes=4/4; methods=10; signatures=10,"The expected solver, BVP, pullback metric, and base metric APIs are visible for benchmarking.",
Metric layer,PullbackMetric.metric_tensor,lrw_pullback_metric_001,success,spd_violation=0; ref_rel_frob=0; max_abs=0,LRW PullbackMetric matches the reference toy-decoder pullback metric and is reliable in this benchmark.,
Path function layer,slerp_path,lrw_slerp_001,success,endpoint=0; sphere_dist_err=0; radial_max=0; ref_rel=1.879e-08,The simple spherical interpolation path function preserves endpoints and sphere geometry.,
Solver layer,GeodesicSolver.interpolate / geodesic_distance,lrw_geodesic_solver_euclidean_001,failure,endpoint=0.068906; path_dist_err=0.956529; geodesic_dist_err=0.99; energy_ratio=0.00188975,"In flat Euclidean sanity testing, GeodesicSolver does not behave as an endpoint-preserving interpolation/distance oracle.",GEO_F01_ENDPOINT_MISS; DIST_F01_STEP_SIZE_SCALED
BVP solver layer,BVPSolver.geodesic_path on Euclidean metric,lrw_euclidean_bvp_001,failure,endpoint=0.0662638; distance_err=0.361061; energy_ratio=2.13036,The BVP solver misses endpoint validity even in the flat Euclidean sanity case.,GEO_F01_ENDPOINT_MISS
BVP solver layer,BVPSolver.geodesic_path on toy pullback metric,lrw_bvp_001,failure,endpoint=1.06321; energy_ratio=0.189056; returned_points=24,The pullback BVP can reduce energy but cannot be accepted as a valid BVP geodesic when endpoints miss.,GEO_F01_ENDPOINT_MISS; ENERGY_ONLY_SUCCESS
BVP diagnostics,BVP best-case and validity scoring,lrw_bvp_diagnostic_001,success,case_count=16; raw_endpoint_pass=0; energy_only=5; overall_valid=0; best_endpoint=0.768896,Energy improvement and endpoint validity are separated; no tested BVP case is overall valid.,ENERGY_ONLY_SUCCESS; BVP_OVERALL_INVALID
Output anatomy,Solver output shape semantics,lrw_geodesic_output_anatomy_001,success,axis_candidates=2; endpoint_valid_axes=0; best_axis_endpoint=0.0662638; verdict=no_axis_interpretation_pass,"The endpoint miss is not explained by a simple [T,B,D] vs [B,T,D] axis interpretation error.",API_SEM02_NO_AXIS_INTERPRETATION_PASS
Scale semantics,step_size and n_steps probe,lrw_solver_scale_probe_001,success,cases=20; best_endpoint=0.0689055; dist_ratio_range=0.000999999..1; dist_ratio_over_step=1; verdict=no_setting_endpoint_valid;distance_scales_like_step_size,geodesic_distance scales like step_size; no tested step_size/n_steps setting makes interpolate endpoint-valid.,DIST_F01_STEP_SIZE_SCALED; GEO_F01_ENDPOINT_MISS
Implementation fingerprint,LRW source/docstring probe,lrw_source_probe_001,skipped,targets=0; step_refs=; shoot_refs=; gd_step=; interp_shoot=,The installed source fingerprint supports the experimental reading: distance and interpolate are step/shoot-based rather than plain endpoint interpolation APIs.,API_SEM01_INTERPOLATE_IS_SHOOT_BASED; DIST_F01_STEP_SIZE_SCALED
